departamento,codigo_divipola_departamento,municipio,codigo_divipola_municipio,programa,año_de_asignacion,estado_de_postulacion,hogares,valor_asignado
VALLE DEL CAUCA,76,GUACARÍ,76318,MI CASA YA,2020,Asignados,1,17556060.0
ANTIOQUIA,5,COPACABANA,5212,Semillero de Propietarios Arriendo,2021,Asignados,1,13450380.0
CASANARE,85,SAN LUIS DE PALENQUE,85325,Bolsa Concejales,2010,Apto con subsidio vencido,1,11330000.0
NORTE DE SANTANDER,54,TEORAMA,54800,Bolsa Desplazados,2005,Asignados,1,4475000.0
CASANARE,85,YOPAL,85001,Bolsa Desplazados,2008,Asignados,98,866847000.0
BOLÍVAR,13,MAGANGUÉ,13430,Casa Digna Vida Digna,2024,Asignados,11,171600000.0
ATLÁNTICO,8,BARRANQUILLA,8001,MI CASA YA,2021,Asignados,100,2271315000.0
MAGDALENA,47,SANTA MARTA,47001,MI CASA YA,2017,Asignados,5,88526040.0
QUINDÍO,63,CALARCÁ,63130,MI CASA YA,2023,Asignados,3,81200000.0
MAGDALENA,47,SANTA MARTA,47001,Semillero de Propietarios Arriendo,2025,Asignados,6,44173800.0
NORTE DE SANTANDER,54,VILLA DEL ROSARIO,54874,MI CASA YA,2020,Asignados,4,96558330.0
TOLIMA,73,ESPINAL,73268,MI CASA YA,2015,Asignados,4,51548000.0
ATLÁNTICO,8,SABANALARGA,8638,MI CASA YA,2019,Asignados,4,82811600.0
META,50,VILLAVICENCIO,50001,Programa Vivienda Gratuita Fase I,2016,Asignados,1,41238400.0
BOLÍVAR,13,CARTAGENA DE INDIAS,13001,MI CASA YA,2017,Asignados,5,81148870.0
CUNDINAMARCA,25,RICAURTE,25612,MI CASA YA,2024,Asignados,1,26000000.0
ANTIOQUIA,5,MEDELLÍN,5001,MI CASA YA,2016,Asignados,2,16546920.0
BOYACÁ,15,TUNJA,15001,MI CASA YA,2019,Asignados,1,16562320.0
VICHADA,99,CUMARIBO,99773,Bolsa Desplazados,2009,Asignados,8,119256000.0
CAUCA,19,POPAYÁN,19001,MI CASA YA,2019,Asignados,5,91092760.0
CÓRDOBA,23,CERETÉ,23162,MI CASA YA,2022,Apto con subsidio vencido,1,20000000.0
CAQUETÁ,18,FLORENCIA,18001,MI CASA YA,2018,Asignados,1,15624840.0
TOLIMA,73,IBAGUÉ,73001,MI CASA YA,2018,Apto con subsidio vencido,1,23437260.0
CUNDINAMARCA,25,SOACHA,25754,MI CASA YA,2019,Asignados,3,57968120.0
BOYACÁ,15,CHIQUINQUIRÁ,15176,Semillero de Propietarios Ahorro,2020,Apto con subsidio vencido,1,5266818.0
CÓRDOBA,23,MONTERÍA,23001,MI CASA YA,2020,Asignados,2,43890150.0
CESAR,20,BECERRIL,20045,Bolsa Desplazados,2007,Subsidio Revocado,2,17391500.0
NARIÑO,52,LA LLANADA,52385,Bolsa Atentados terroristas,2005,Renuncias al subsidio,1,8011500.0
META,50,SAN MARTÍN,50689,MI CASA YA,2023,Asignados,3,81200000.0
CALDAS,17,VILLAMARÍA,17873,VIPA,2016,Renuncias al subsidio,1,20683650.0
ANTIOQUIA,5,MEDELLÍN,5001,Casa Digna Vida Digna,2025,Asignados,3,70200000.0
VALLE DEL CAUCA,76,JAMUNDÍ,76364,Semillero de Propietarios Arriendo,2021,Asignados,1,13450380.0
CESAR,20,VALLEDUPAR,20001,MI CASA YA,2016,Apto con subsidio vencido,1,13789100.0
QUINDÍO,63,ARMENIA,63001,Semillero de Propietarios Arriendo,2020,Asignados,1,12742092.0
ANTIOQUIA,5,ENVIGADO,5266,MI CASA YA,2025,Asignados,3,113880000.0
BOYACÁ,15,PAIPA,15516,Semillero de Propietarios Ahorro,2021,Asignados,1,5451156.0
ANTIOQUIA,5,APARTADÓ,5045,Semillero de Propietarios Ahorro,2021,Asignados,1,5451156.0
BOLÍVAR,13,TURBACO,13836,MI CASA YA,2017,Asignados,1,14754340.0
CASANARE,85,TRINIDAD,85430,Bolsa Desplazados,2008,Asignados,1,14907000.0
ANTIOQUIA,5,SAN ROQUE,5670,Bolsa Desplazados,2010,Asignados,1,15450000.0
CESAR,20,VALLEDUPAR,20001,Bolsa Desplazados,2005,Asignado con aplicación en Vivienda Gratuita,3,44721000.0
META,50,VILLAVICENCIO,50001,Casa Digna Vida Digna,2022,Asignados,1,11999975.0
VALLE DEL CAUCA,76,SANTIAGO DE CALI,76001,Semillero de Propietarios Arriendo,2020,Renuncias al subsidio,1,13303909.0
LA GUAJIRA,44,DIBULLA,44090,Bolsa Atentados terroristas,2006,Asignados,1,8568000.0
BOYACÁ,15,SAMACÁ,15646,Semillero de Propietarios Ahorro,2023,Asignados,2,13920000.0
ANTIOQUIA,5,YARUMAL,5887,MI CASA YA,2021,Asignados,2,45426300.0
ANTIOQUIA,5,LA ESTRELLA,5380,MI CASA YA,2021,Asignados,1,18170520.0
META,50,VILLAVICENCIO,50001,MI CASA YA,2018,Asignados,1,15624840.0
ANTIOQUIA,5,AMALFI,5031,Bolsa Desplazados,2010,Restitución SFV por Indemnización,1,15450000.0
CUNDINAMARCA,25,VILLETA,25875,MI CASA YA,2022,Apto con subsidio vencido,1,20000000.0
"BOGOTÁ, D.C.",11,"BOGOTÁ, D.C.",11001,Bolsa Concejales,2009,Restitución SFV por Vencimiento Vigencia,1,5714350.0
SANTANDER,68,BUCARAMANGA,68001,Bolsa Desplazados,2004,Renuncia con restitucion de subsidio,4,17900000.0
VALLE DEL CAUCA,76,YUMBO,76892,MI CASA YA,2019,Asignados,14,273278280.0
SANTANDER,68,GIRÓN,68307,MI CASA YA,2023,Asignados,15,487200000.0
MAGDALENA,47,SANTA MARTA,47001,Bolsa Desplazados,2005,Asignados,17,161071000.0
VALLE DEL CAUCA,76,YUMBO,76892,MI CASA YA,2021,Asignados,4,72682080.0
MAGDALENA,47,SANTA MARTA,47001,MI CASA YA,2015,Asignados,13,157221400.0
CESAR,20,AGUACHICA,20011,VIPA,2016,Asignados,2,41367300.0
BOLÍVAR,13,CARTAGENA DE INDIAS,13001,MI CASA YA,2022,Asignados,38,1060000000.0
SANTANDER,68,GIRÓN,68307,MI CASA YA,2022,Asignados,73,1930000000.0
ANTIOQUIA,5,TURBO,5837,Bolsa Desplazados,2010,Asignados,113,1699500000.0
CAUCA,19,POPAYÁN,19001,Semillero de Propietarios Arriendo,2022,Asignados,5,76723200.0
VALLE DEL CAUCA,76,SANTIAGO DE CALI,76001,Bolsa Desplazados,2009,Asignados,39,501869000.0
ATLÁNTICO,8,SOLEDAD,8758,Semillero de Propietarios Arriendo,2022,Renuncias al subsidio,3,43200000.0
BOYACÁ,15,RONDÓN,15621,Programa Vivienda Gratuita Fase I,2015,Asignados,24,1059001344.0
VALLE DEL CAUCA,76,CANDELARIA,76130,MI CASA YA,2020,Asignados,45,1062141630.0
BOYACÁ,15,PAIPA,15516,MI CASA YA,2024,Asignados,7,208000000.0
CALDAS,17,RIOSUCIO,17614,Bolsa Ordinaria,2005,Renuncias al subsidio,9,72103500.0
ANTIOQUIA,5,BELLO,5088,MI CASA YA,2024,Asignados,3,91000000.0
LA GUAJIRA,44,HATONUEVO,44378,Programa Vivienda Gratuita Fase II,2020,Asignados,3,166451316.0
BOYACÁ,15,PAIPA,15516,MI CASA YA,2018,Asignados,1,23437260.0
ANTIOQUIA,5,TÁMESIS,5789,MI CASA YA,2024,Asignados,7,182000000.0
ANTIOQUIA,5,SABANETA,5631,MI CASA YA,2018,Asignados,4,70311780.0
CESAR,20,VALLEDUPAR,20001,MI CASA YA,2019,Asignados,13,256715960.0
NORTE DE SANTANDER,54,CHINÁCOTA,54172,MI CASA YA,2023,Asignados,1,23200000.0
SANTANDER,68,BUCARAMANGA,68001,MI CASA YA,2018,Asignados,1,15624840.0
LA GUAJIRA,44,FONSECA,44279,Bolsa Desplazados,2011,Subsidio Revocado,2,32136000.0
LA GUAJIRA,44,MANAURE,44560,VIPA,2021,Asignados,2,54511560.0
"BOGOTÁ, D.C.",11,"BOGOTÁ, D.C.",11001,Semillero de Propietarios Arriendo,2020,Asignados,4,53215540.0
ANTIOQUIA,5,LA CEJA,5376,MI CASA YA,2016,Asignados,1,8273460.0
NORTE DE SANTANDER,54,VILLA DEL ROSARIO,54874,MI CASA YA,2015,Apto con subsidio vencido,1,12887000.0
CUNDINAMARCA,25,EL ROSAL,25260,MI CASA YA,2024,Asignados,10,260000000.0
CUNDINAMARCA,25,ANAPOIMA,25035,Ahorro Programado Contractual,2009,Apto con subsidio vencido,2,14211340.0
META,50,RESTREPO,50606,MI CASA YA,2020,Asignados,2,35112120.0
MAGDALENA,47,SANTA MARTA,47001,MI CASA YA,2020,Asignados,2,43890150.0
CÓRDOBA,23,TIERRALTA,23807,Programa Vivienda Gratuita Fase I,2007,Asignados,3,44721000.0
ANTIOQUIA,5,JERICÓ,5368,Bolsa Esfuerzo Territorial,2003,Asignados,1,7107000.0
TOLIMA,73,FLANDES,73275,MI CASA YA,2021,Asignados,1,27255780.0
MAGDALENA,47,SANTA BÁRBARA DE PINTO,47720,Casa Digna Vida Digna,2025,Asignados,3,46564203.0
QUINDÍO,63,ARMENIA,63001,MI CASA YA,2018,Asignados,2,46874520.0
VALLE DEL CAUCA,76,CANDELARIA,76130,VIPA,2016,Asignados,5,99970975.0
ATLÁNTICO,8,SUAN,8770,Casa Digna Vida Digna,2025,Asignados,1,15600000.0
MAGDALENA,47,SANTA MARTA,47001,VIPA,2016,Renuncias al subsidio,2,37920025.0
VALLE DEL CAUCA,76,ROLDANILLO,76622,MI CASA YA,2020,Asignados,2,35112120.0
CUNDINAMARCA,25,APULO,25599,MI CASA YA,2021,Asignados,1,18170520.0
CALDAS,17,MANIZALES,17001,MI CASA YA,2017,Asignados,3,38361284.0
VALLE DEL CAUCA,76,BUENAVENTURA,76109,Macroproyecto,2015,Asignados,74,4682786378.0
NORTE DE SANTANDER,54,SAN JOSÉ DE CÚCUTA,54001,Bolsa Desastres Naturales,2007,Asignados,106,908208000.0
BOLÍVAR,13,CARTAGENA DE INDIAS,13001,MI CASA YA,2024,Asignados,67,2496000000.0
VALLE DEL CAUCA,76,YUMBO,76892,MI CASA YA,2024,Asignados,30,1027000000.0
TOLIMA,73,IBAGUÉ,73001,MI CASA YA,2017,Asignados,75,1136084180.0
VALLE DEL CAUCA,76,JAMUNDÍ,76364,Bolsa Desplazados,2011,Asignados,3,48204000.0
ANTIOQUIA,5,VALPARAÍSO,5856,MI CASA YA,2018,Asignados,1,15624840.0
MAGDALENA,47,ARACATACA,47053,Bolsa Desplazados,2008,Renuncia con restitucion de subsidio,2,29814000.0
ANTIOQUIA,5,NECOCLÍ,5490,Bolsa Desplazados,2007,Asignados,10,120618500.0
ANTIOQUIA,5,CALDAS,5129,MI CASA YA,2016,Asignados,2,16546920.0
VALLE DEL CAUCA,76,PALMIRA,76520,MI CASA YA,2018,Asignados,7,117186300.0
TOLIMA,73,CARMEN DE APICALÁ,73148,Programa Vivienda Gratuita Fase I,2014,Asignados,65,2650139000.0
CALDAS,17,CHINCHINÁ,17174,VIPA,2016,Asignados,79,1613324700.0
CAUCA,19,POPAYÁN,19001,MI CASA YA,2018,Asignados,4,85936620.0
CUNDINAMARCA,25,SUTATAUSA,25781,Bolsa Desplazados,2008,Asignado con aplicación en Vivienda Gratuita,1,14907000.0
CESAR,20,SAN DIEGO,20750,Casa Digna Vida Digna,2025,Asignados,4,55679806.0
NARIÑO,52,LA TOLA,52390,Bolsa Atentados terroristas,2006,Asignados,22,188496000.0
CALDAS,17,MANIZALES,17001,MI CASA YA,2023,Asignados,8,232000000.0
CUNDINAMARCA,25,SOACHA,25754,MI CASA YA,2017,Asignados,13,199183590.0
VALLE DEL CAUCA,76,PRADERA,76563,MI CASA YA,2024,Asignados,3,91000000.0
QUINDÍO,63,CALARCÁ,63130,MI CASA YA,2023,Asignados,11,336400000.0
GUAINÍA,94,BARRANCOMINAS,94343,Casa Digna Vida Digna,2026,Asignados,35,545000842.8
CESAR,20,AGUACHICA,20011,MI CASA YA,2022,Asignados,1,30000000.0
CUNDINAMARCA,25,MEDINA,25438,Casa Digna Vida Digna,2025,Asignados,8,124800000.0
CAQUETÁ,18,SAN VICENTE DEL CAGUÁN,18753,Programa Vivienda Gratuita Fase II,2021,Asignados,160,6851764970.0
ATLÁNTICO,8,BARRANQUILLA,8001,MI CASA YA,2022,Asignados,30,810000000.0
NARIÑO,52,SANTA BÁRBARA,52696,Bolsa Atentados terroristas,2009,Asignados,48,524724000.0
ANTIOQUIA,5,GUARNE,5318,MI CASA YA,2023,Asignados,11,278400000.0
CUNDINAMARCA,25,SOACHA,25754,MI CASA YA,2024,Asignados,32,832000000.0
TOLIMA,73,IBAGUÉ,73001,MI CASA YA,2022,Asignados,219,5160000000.0
BOLÍVAR,13,CARTAGENA DE INDIAS,13001,MI CASA YA,2023,Apto con subsidio vencido,4,139200000.0
CÓRDOBA,23,CANALETE,23090,Bolsa Desastres Naturales,2008,Renuncia con restitucion de subsidio,25,124688750.0
CALDAS,17,CHINCHINÁ,17174,VIPA,2016,Asignados,9,179258300.0
ANTIOQUIA,5,FRONTINO,5284,Bolsa Saludable,2008,Apto con subsidio vencido,5,18460000.0
ANTIOQUIA,5,GUATAPÉ,5321,Bolsa Desplazados,2010,Asignados,1,15450000.0
VALLE DEL CAUCA,76,PALMIRA,76520,MI CASA YA,2023,Asignados,24,719200000.0
META,50,GRANADA,50313,MI CASA YA,2022,Asignados,1,20000000.0
BOYACÁ,15,PAIPA,15516,Semillero de Propietarios Ahorro,2022,Asignados,1,6000000.0
MAGDALENA,47,EL BANCO,47245,Bolsa Concejales,2008,Asignados,4,40612000.0
BOYACÁ,15,BOAVITA,15097,MI CASA YA,2023,Asignados,5,174000000.0
ANTIOQUIA,5,CONCORDIA,5209,Programa Vivienda Gratuita Fase I,2015,Asignados,2,70740000.0
TOLIMA,73,CHAPARRAL,73168,Casa Digna Vida Digna,2025,Asignados,7,109188122.0
CUNDINAMARCA,25,TOCANCIPÁ,25817,MI CASA YA,2022,Apto con subsidio vencido,3,60000000.0
SANTANDER,68,BARRANCABERMEJA,68081,MI CASA YA,2021,Asignados,4,99937860.0
CASANARE,85,AGUAZUL,85010,MI CASA YA,2022,Asignados,1,30000000.0
QUINDÍO,63,ARMENIA,63001,MI CASA YA,2016,Asignados,1,13789100.0
BOYACÁ,15,TUNJA,15001,MI CASA YA,2018,Asignados,2,31249680.0
QUINDÍO,63,ARMENIA,63001,MI CASA YA,2015,Asignados,1,12887000.0
BOYACÁ,15,CHIQUINQUIRÁ,15176,MI CASA YA,2020,Asignados,1,26334090.0
TOLIMA,73,ROVIRA,73624,Bolsa Atentados terroristas,2009,Asignados,1,10931800.0
BOYACÁ,15,DUITAMA,15238,Semillero de Propietarios Ahorro,2021,Asignados,2,10902312.0
BOYACÁ,15,OTANCHE,15507,Bolsa Desplazados,2008,Asignados,1,14907000.0
NORTE DE SANTANDER,54,ÁBREGO,54003,Semillero de Propietarios Arriendo,2021,Asignados,1,13450380.0
ANTIOQUIA,5,LA CEJA,5376,Semillero de Propietarios Ahorro,2022,Asignados,2,12000000.0
LA GUAJIRA,44,VILLANUEVA,44874,Bolsa Desplazados,2006,Asignados,3,15300000.0
META,50,VILLAVICENCIO,50001,MI CASA YA,2019,Asignados,3,49686960.0
VALLE DEL CAUCA,76,CARTAGO,76147,VIPA,2016,Asignados,1,20683650.0
CUNDINAMARCA,25,SIMIJACA,25745,Bolsa Concejales,2009,Asignados,1,8447300.0
MAGDALENA,47,CIÉNAGA,47189,Bolsa Desplazados,2006,Asignado con aplicación en Vivienda Gratuita,1,10200000.0
NORTE DE SANTANDER,54,SAN JOSÉ DE CÚCUTA,54001,Bolsa Desplazados,2006,Renuncia con restitucion de subsidio,1,10142880.0
NORTE DE SANTANDER,54,LOS PATIOS,54405,MI CASA YA,2018,Asignados,1,15624840.0
SANTANDER,68,BUCARAMANGA,68001,Semillero de Propietarios Arriendo,2021,Asignados,1,13450380.0
CUNDINAMARCA,25,SOACHA,25754,Bolsa Desplazados,2017,Asignados,1,22131510.0
RISARALDA,66,DOSQUEBRADAS,66170,MI CASA YA,2018,Renuncias al subsidio,1,15624840.0
BOYACÁ,15,MONIQUIRÁ,15469,Ahorro Programado Contractual,2009,Apto con subsidio vencido,1,7105670.0
CESAR,20,VALLEDUPAR,20001,Semillero de Propietarios Arriendo,2022,Asignados,1,10229760.0
CUNDINAMARCA,25,CUCUNUBÁ,25224,MI CASA YA,2024,Asignados,1,26000000.0
CALDAS,17,VILLAMARÍA,17873,MI CASA YA,2020,Asignados,1,26334090.0
VALLE DEL CAUCA,76,ROLDANILLO,76622,MI CASA YA,2019,Asignados,1,24843480.0
META,50,ACACÍAS,50006,Bolsa Desplazados,2004,Subsidio Revocado,1,7000000.0
ATLÁNTICO,8,SOLEDAD,8758,MI CASA YA,2020,Asignados,27,632018160.0
TOLIMA,73,SAN ANTONIO,73675,Bolsa Desplazados,2009,Asignados,5,74535000.0
LA GUAJIRA,44,RIOHACHA,44001,Bolsa Desplazados,2010,Apto con subsidio vencido,1,15450000.0
CALDAS,17,MANIZALES,17001,MI CASA YA,2023,Asignados,10,290000000.0
CÓRDOBA,23,CERETÉ,23162,MI CASA YA,2020,Asignados,3,79002270.0
BOLÍVAR,13,TURBACO,13836,MI CASA YA,2017,Asignados,5,88526040.0
ATLÁNTICO,8,SOLEDAD,8758,MI CASA YA,2022,Asignados,9,190000000.0
META,50,VILLAVICENCIO,50001,MI CASA YA,2019,Asignados,8,165623200.0
"BOGOTÁ, D.C.",11,"BOGOTÁ, D.C.",11001,MI CASA YA,2024,Asignados,54,1404000000.0
BOYACÁ,15,TUNJA,15001,MI CASA YA,2017,Asignados,1,14754340.0
